,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
374234,116,2023-07-27 16:51:30+00:00,50.7475872,3.6159773,37.0,40.0,376.0,358.0,1845.0,1822.0,80.0,78.0,85.0,82.0,False
10240449,175,2023-03-02 10:48:58+00:00,50.9910196,5.3487536,30.0,22.0,282.0,331.0,1015.0,1498.0,87.0,89.0,93.0,92.0,False
7397322,116,2023-06-14 18:13:28+00:00,51.0400356,3.6934847,33.0,40.0,213.0,179.0,806.0,802.0,78.0,77.0,80.0,77.0,False
13975534,175,2023-05-29 07:32:48+00:00,51.2156888,5.4252483,31.0,33.0,207.0,255.0,798.0,803.0,84.0,84.0,86.0,85.0,False
8225251,175,2023-02-20 13:44:14+00:00,51.181683,4.8300854,19.0,16.0,210.0,427.0,838.0,1251.0,84.0,84.0,85.0,84.0,False
4050450,175,2023-03-18 15:47:53+00:00,50.986663,5.3489841,28.0,30.0,389.0,451.0,1498.0,1500.0,83.0,85.0,82.0,84.0,False
5636572,116,2023-04-21 05:46:41+00:00,51.0771946,3.7161602,36.0,34.0,213.0,155.0,799.0,799.0,81.0,85.0,89.0,87.0,False
5424680,155,2023-02-23 01:52:56+00:00,51.0155121,3.7747777,11.0,26.0,345.0,317.0,800.0,809.0,54.0,63.0,54.0,62.0,False
14724014,123,2023-01-26 10:14:11+00:00,51.1779777,5.1472846,30.0,23.0,358.0,327.0,1255.0,1250.0,73.0,80.0,72.0,81.0,False
14519457,175,2023-03-27 19:29:08+00:00,51.1904677,5.113147,11.0,9.0,258.0,269.0,807.0,802.0,73.0,81.0,73.0,77.0,False
4121580,116,2023-07-13 05:51:46+00:00,50.8969674,4.0630892,37.0,37.0,203.0,172.0,796.0,804.0,83.0,83.0,87.0,87.0,False
618810,164,2023-03-01 15:42:52+00:00,51.1905641,5.1135583,11.0,21.0,241.0,238.0,802.0,802.0,81.0,79.0,76.0,77.0,False
578740,164,2023-03-27 05:27:14+00:00,51.1375298,4.5449068,11.0,38.0,244.0,224.0,915.0,804.0,82.0,81.0,81.0,82.0,False
2455307,116,2023-08-08 19:03:45+00:00,51.0358934,3.7105314,32.0,45.0,193.0,10.0,787.0,0.0,83.0,35.0,87.0,47.0,False
15760258,116,2023-06-12 18:35:05+00:00,50.9032173,3.8043941,48.0,53.0,331.0,255.0,1504.0,1495.0,86.0,86.0,93.0,92.0,False
10039775,175,2023-09-11 03:05:22+00:00,51.1905567,5.1122983,29.0,30.0,231.0,282.0,801.0,796.0,82.0,83.0,81.0,81.0,False
7554897,175,2023-06-06 05:53:27+00:00,50.9340134,5.3147954,22.0,41.0,217.0,255.0,798.0,806.0,82.0,83.0,84.0,84.0,False
17162295,164,2023-02-24 15:43:28+00:00,51.0831059,5.2332412,28.0,0.0,305.0,0.0,1158.5,399.0,84.0,41.5,81.5,84.5,False
131368,123,2023-04-19 06:08:36+00:00,51.1905265,5.1140554,26.0,30.0,220.0,217.0,800.0,792.0,75.0,80.0,81.0,82.0,False
16882461,175,2023-07-05 16:55:16+00:00,51.190776,5.1136099,18.0,17.0,479.0,510.0,804.0,811.0,47.0,45.0,33.0,32.0,True
1640939,116,2023-03-17 13:25:24+00:00,51.0166923,3.7720667,29.0,31.0,227.0,189.0,804.0,808.0,76.0,73.0,71.0,67.0,False
10430752,155,2023-04-20 18:50:38+00:00,51.0356843,3.7107507,19.0,22.0,193.0,227.0,791.0,794.0,80.0,79.0,81.0,82.0,False
16867430,164,2023-07-07 10:36:49+00:00,51.1808269,4.8279616,35.0,37.0,231.0,224.0,799.0,796.0,81.0,79.0,76.0,76.0,False
15406463,116,2023-05-10 16:28:59+00:00,50.9473975,3.7774502,44.0,46.0,341.0,303.0,1838.0,1829.0,88.0,87.0,95.0,93.0,False
11656906,164,2023-03-01 06:11:34+00:00,51.2067147,4.4255894,7.0,15.0,234.0,238.0,801.0,800.0,81.0,79.0,76.0,78.0,False
4599096,155,2023-05-10 15:07:50+00:00,50.816064,3.8267869,36.0,33.0,200.0,224.0,833.0,840.0,92.0,91.0,97.0,95.0,False
3195201,116,2023-06-16 13:09:43+00:00,51.0224102,3.7602458,49.0,40.0,338.0,293.0,1499.0,1495.0,88.0,81.0,89.0,87.0,False
9137576,175,2023-06-27 18:12:36+00:00,51.1927873,5.1276754,28.0,39.0,393.0,465.0,1591.0,1540.0,81.0,83.0,85.0,84.0,False
