,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,corr_iqr_outlier
8185323,175,2023-03-17 02:05:25+00:00,51.1903796,5.1116113,13.0,15.0,248.0,286.0,797.0,801.0,77.0,82.0,74.0,78.0,61.0,False
1620717,155,2023-06-16 07:07:29+00:00,51.1805507,3.5755261,37.0,27.0,193.0,210.0,793.0,813.0,81.0,87.0,84.0,86.0,50.0,False
2704098,116,2023-01-25 06:48:12+00:00,50.7446192,3.6100385,16.0,11.0,396.0,327.0,1775.0,1677.0,79.0,86.0,81.0,85.0,49.0,True
9180309,175,2023-04-15 03:05:27+00:00,51.1908091,5.113743,12.0,11.0,272.0,282.0,800.0,801.0,71.0,82.0,70.0,76.0,59.0,False
16276794,155,2023-08-17 23:26:35+00:00,51.0159195,3.7735072,26.0,21.0,369.0,382.0,797.0,797.0,55.0,53.0,50.0,47.0,60.0,False
7811188,175,2023-07-18 17:07:31+00:00,51.1906796,5.1148252,38.0,45.0,207.0,251.0,794.0,801.0,81.0,81.0,84.0,87.0,60.0,False
2761676,175,2023-06-14 08:57:04+00:00,51.2256139,4.4404594,32.0,27.0,227.0,282.0,801.0,808.0,83.0,82.0,78.0,77.0,60.0,False
12299201,116,2023-05-06 04:57:14+00:00,50.7421786,3.6020516,26.0,37.0,227.0,182.0,802.0,798.0,77.0,76.0,77.0,74.0,3.0,False
15785088,175,2023-03-26 02:56:30+00:00,51.190934,5.1142304,11.0,11.0,269.0,348.0,803.0,795.0,76.0,70.0,68.0,62.0,61.0,False
10004105,116,2023-05-17 01:23:52+00:00,50.9489805,4.0272105,19.0,28.0,220.0,175.0,795.0,794.0,78.0,77.0,78.0,76.0,13.0,False
7530640,155,2023-05-31 06:11:27+00:00,51.1075624,3.9859116,32.0,27.0,182.0,207.0,797.0,801.0,83.0,85.0,87.0,87.0,60.0,False
17174159,175,2023-02-11 15:49:38+00:00,51.1736755,4.9067788,26.0,22.0,369.0,445.0,1863.0,1833.0,85.0,83.0,87.0,89.0,60.0,True
6651679,116,2023-06-13 10:10:07+00:00,51.0166106,3.7723668,36.0,43.0,210.0,172.0,796.0,800.0,78.0,77.0,77.0,76.0,55.0,False
16618752,155,2023-02-20 16:48:14+00:00,50.8069374,3.9570109,36.0,30.0,193.0,213.0,804.0,804.0,86.0,86.0,88.0,89.0,60.0,False
13276993,175,2023-04-16 05:22:16+00:00,51.1716316,4.8033179,18.0,17.0,210.0,251.0,796.0,800.0,82.0,83.0,84.0,84.0,61.0,False
7886394,155,2023-05-24 16:16:23+00:00,50.9927613,3.6419915,42.0,44.0,338.0,334.0,1507.0,1490.0,89.0,91.0,94.0,95.0,53.0,True
14947888,175,2023-02-14 13:42:56+00:00,51.2252479,4.4408932,15.0,20.0,231.0,269.0,794.0,799.0,82.0,82.0,78.0,80.0,61.0,False
13560505,116,2023-05-05 07:05:03+00:00,51.0155662,3.7752288,46.0,48.0,0.0,0.0,0.0,0.0,78.0,77.0,81.0,79.0,58.0,True
493328,175,2023-05-11 07:44:33+00:00,51.1906554,5.1140326,18.0,24.0,231.0,272.0,802.0,798.0,82.0,82.0,80.0,79.0,60.0,False
7496644,116,2023-05-17 04:13:01+00:00,50.7710682,3.872157,25.0,32.0,220.0,179.0,808.0,799.0,78.0,76.0,78.0,77.0,16.0,False
10272952,116,2023-02-22 04:52:46+00:00,51.0314136,3.7281876,35.0,33.0,186.0,165.0,803.0,802.0,81.0,78.0,88.0,88.0,42.0,False
237681,175,2023-03-11 21:43:04+00:00,51.2461764,5.542893,8.0,6.0,231.0,286.0,795.0,802.0,81.0,82.0,81.0,82.0,60.0,False
8167540,175,2023-03-30 13:23:36+00:00,50.9623511,5.3418743,23.0,27.0,420.0,486.0,1485.0,1517.0,81.0,82.0,75.0,75.0,60.0,True
7373371,155,2023-04-07 03:35:08+00:00,50.8556561,3.6066609,11.0,16.0,358.0,355.0,800.0,799.0,50.0,58.0,47.0,52.0,59.0,False
4869366,175,2023-02-23 19:18:27+00:00,51.1897711,5.1093816,13.0,13.0,220.0,265.0,802.0,800.0,81.0,81.0,82.0,80.0,60.0,False
1617584,116,2023-06-02 03:23:50+00:00,50.7748928,3.8731965,17.0,27.0,272.0,203.0,794.0,793.0,68.0,68.0,64.0,63.0,52.0,False
15657245,155,2023-04-23 06:49:51+00:00,51.180238,3.5759014,35.0,28.0,179.0,207.0,802.0,800.0,82.0,85.0,89.0,90.0,4.0,False
