,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,week,corr_z_outlier,LOF_status,month
9289744,123,2023-02-09 05:45:32+00:00,50.9819522,5.3489904,41.0,39.0,345.0,341.0,1670.0,1673.0,81.0,83.0,83.0,85.0,61.0,6,corr_ok,lof_ok,February
16140744,164,2023-07-03 01:26:20+00:00,51.1901504,5.1125562,53.0,18.0,6.0,424.0,0.0,798.0,44.0,51.0,47.0,49.0,11.0,27,corr_outlier,lof_ok,July
5150670,164,2023-02-04 05:46:27+00:00,51.1582133,4.4629956,28.0,17.0,224.0,213.0,804.0,798.0,85.0,83.0,81.0,82.0,60.0,5,corr_ok,lof_ok,February
9798159,116,2023-07-19 07:08:14+00:00,51.039979,3.6934079,24.0,36.0,231.0,179.0,802.0,798.0,77.0,76.0,80.0,76.0,60.0,29,corr_ok,lof_ok,July
12009755,116,2023-09-01 03:53:23+00:00,50.7748736,3.8730894,23.0,29.0,224.0,179.0,793.0,798.0,79.0,77.0,76.0,75.0,1.0,35,corr_ok,lof_ok,September
9117938,164,2023-02-25 17:38:33+00:00,51.1805584,4.8271575,11.0,22.0,234.0,231.0,799.0,796.0,81.0,79.0,77.0,78.0,59.0,8,corr_ok,lof_ok,February
6423358,164,2023-07-05 19:35:07+00:00,51.2142521,5.3847498,47.0,42.0,382.0,369.0,1864.0,1929.0,85.0,83.0,82.0,82.0,10.0,27,corr_ok,lof_ok,July
14816844,116,2023-03-31 09:25:34+00:00,50.7692339,3.8720915,11.0,10.0,0.0,17.0,0.0,0.0,10.0,7.0,11.0,9.0,54.0,13,corr_ok,lof_ok,March
15458721,116,2023-09-07 06:31:36+00:00,50.7909963,3.8678597,40.0,37.0,300.0,293.0,1017.0,1501.0,85.0,86.0,89.0,88.0,11.0,36,corr_ok,lof_ok,September
3423275,123,2023-01-25 10:38:59+00:00,51.028256,5.3520226,38.0,34.0,338.0,331.0,1381.0,1373.0,80.0,81.0,83.0,85.0,63.0,4,corr_ok,lof_ok,January
1001990,116,2023-02-15 15:47:48+00:00,50.8691039,3.8143999,35.0,40.0,186.0,165.0,810.0,794.0,80.0,80.0,82.0,82.0,9.0,7,corr_ok,lof_ok,February
3148169,123,2023-03-07 16:56:06+00:00,51.208111,4.4242546,26.0,17.0,279.0,207.0,797.0,802.0,63.0,82.0,0.0,84.0,59.0,10,corr_outlier,lof_ok,March
5786376,116,2023-05-10 11:34:48+00:00,51.0397378,3.6947156,31.0,28.0,224.0,175.0,793.0,799.0,77.0,76.0,76.0,74.0,59.0,19,corr_ok,lof_ok,May
7325595,123,2023-04-19 18:52:49+00:00,51.2462326,5.5435627,26.0,28.0,227.0,220.0,802.0,797.0,76.0,80.0,79.0,80.0,60.0,16,corr_ok,lof_ok,April
2809170,123,2023-05-22 04:58:54+00:00,51.2149707,4.4207414,37.0,31.0,224.0,217.0,800.0,814.0,76.0,81.0,77.0,80.0,61.0,21,corr_ok,lof_ok,May
13330434,164,2023-07-08 15:54:23+00:00,51.212554,4.4214814,64.0,45.0,6.0,379.0,0.0,1500.0,56.0,83.0,64.0,87.0,10.0,27,corr_ok,lof_ok,July
12717858,123,2023-01-26 19:34:25+00:00,51.0787624,5.2323287,35.0,31.0,179.0,189.0,799.0,796.0,81.0,80.0,81.0,83.0,60.0,4,corr_ok,lof_ok,January
9321775,116,2023-02-21 10:07:46+00:00,51.0326486,3.7389278,23.0,32.0,327.0,248.0,1204.0,1206.0,79.0,78.0,82.0,78.0,51.0,8,corr_ok,lof_outlier,February
3191433,116,2023-06-19 05:17:53+00:00,51.0179284,3.7689244,26.0,35.0,269.0,224.0,791.0,803.0,70.0,67.0,66.0,62.0,50.0,25,corr_ok,lof_ok,June
766039,116,2023-08-25 06:25:59+00:00,51.0140657,3.7798938,25.0,28.0,0.0,238.0,0.0,803.0,23.0,62.0,22.0,50.0,57.0,34,corr_ok,lof_ok,August
6411967,164,2023-07-25 20:47:51+00:00,51.2386307,5.4607851,35.0,33.0,227.0,220.0,1140.0,802.0,80.0,81.0,80.0,82.0,60.0,30,corr_ok,lof_ok,July
7150006,116,2023-02-22 12:59:27+00:00,51.01591,3.7747836,24.0,27.0,217.0,175.0,791.0,806.0,77.0,76.0,78.0,76.0,2.0,8,corr_ok,lof_ok,February
9473699,123,2023-04-11 09:11:06+00:00,51.18598,5.1392106,33.0,31.0,345.0,341.0,1474.0,1454.0,81.0,83.0,82.0,85.0,60.0,15,corr_ok,lof_ok,April
15949675,116,2023-02-10 05:24:57+00:00,51.1802471,3.5759107,20.0,26.0,220.0,182.0,797.0,808.0,78.0,77.0,77.0,76.0,49.0,6,corr_ok,lof_ok,February
1727867,164,2023-07-02 16:10:46+00:00,50.9308109,5.3274952,32.0,37.0,213.0,227.0,795.0,798.0,82.0,79.0,79.0,79.0,60.0,26,corr_ok,lof_ok,July
686395,116,2023-02-10 06:00:52+00:00,51.1256414,3.6687948,34.0,32.0,200.0,169.0,799.0,798.0,81.0,83.0,82.0,84.0,46.0,6,corr_ok,lof_ok,February
6121594,123,2023-02-09 01:03:30+00:00,51.1909307,5.1141802,6.0,13.0,331.0,296.0,806.0,794.0,52.0,56.0,46.0,53.0,60.0,6,corr_ok,lof_outlier,February
7373718,164,2023-04-02 07:33:03+00:00,51.1666909,4.7596409,11.0,36.0,220.0,213.0,794.0,785.0,83.0,82.0,80.0,82.0,61.0,13,corr_ok,lof_ok,April
13579206,164,2023-09-09 15:50:57+00:00,51.1733107,4.9107732,47.0,47.0,403.0,389.0,1880.0,1917.0,85.0,86.0,84.0,86.0,59.0,36,corr_ok,lof_ok,September
6678020,116,2023-06-12 13:59:12+00:00,51.035168,3.7108934,38.0,42.0,200.0,169.0,805.0,801.0,82.0,84.0,82.0,83.0,8.0,24,corr_ok,lof_ok,June
